timestamp,value
1762685781671,49.8966
1762685782671,49.7713
1762685783671,50.1633
1762685784671,49.8965
1762685785671,49.5958
1762685786671,49.7927
1762685787671,49.4782
1762685788671,49.3681
1762685789671,49.7000
1762685790671,49.6290
1762685791671,49.5637
1762685792671,49.8788
1762685793671,50.0952
1762685794671,49.8738
1762685795671,49.6983
1762685796671,49.4478
1762685797671,49.3885
1762685798671,49.4603
1762685799671,49.8260
1762685800671,50.2218
1762685801671,50.2700
1762685802671,50.2678
1762685803671,50.0618
1762685804671,50.2082
1762685805671,49.8489
1762685806671,50.0599
1762685807671,49.7910
1762685808671,49.7405
1762685809671,49.8222
1762685810671,49.9757
1762685811671,49.6751
1762685812671,49.9924
1762685813671,49.6840
1762685814671,49.5363
1762685815671,49.8344
1762685816671,49.9538
1762685817671,50.2421
1762685818671,50.3855
1762685819671,50.0517
1762685820671,49.9422
1762685821671,50.1618
1762685822671,50.0602
1762685823671,49.7336
1762685824671,49.5716
1762685825671,49.6629
1762685826671,49.6157
1762685827671,49.7973
1762685828671,49.7450
1762685829671,49.8387
1762685830671,50.2006
1762685831671,50.2538
1762685832671,50.1872
1762685833671,50.3708
1762685834671,50.4869
1762685835671,50.5552
1762685836671,50.4913
1762685837671,50.8153
1762685838671,51.0932
1762685839671,50.9407
1762685840671,50.7659
1762685841671,50.4766
1762685842671,50.6417
1762685843671,50.4498
1762685844671,50.3500
1762685845671,50.0916
1762685846671,50.2584
1762685847671,49.9182
1762685848671,50.2507
1762685849671,50.4805
1762685850671,50.4436
1762685851671,50.8378
1762685852671,50.8329
1762685853671,51.0127
1762685854671,50.6848
1762685855671,50.5004
1762685856671,50.2166
1762685857671,49.9277
1762685858671,49.6521
1762685859671,49.8840
1762685860671,49.8626
1762685861671,49.8799
1762685862671,49.9967
1762685863671,50.3367
1762685864671,50.4576
1762685865671,50.5622
1762685866671,50.5597
1762685867671,50.7320
1762685868671,50.9292
1762685869671,50.6786
1762685870671,50.5937
1762685871671,50.9016
